,id_runningnum,participant_id,agegrp,toi1,toi2,offset,trl_runningnum,event,trigger,artfree,trl_condition,accuracy,rt,beta_insula,beta_LC,pupil,LCr,trl_condition_bin,switch_condition,switch_condition_num,logreactiontime,logreactiontimez,response,bias
5195,36,42393,1,318258,320758,-1250,108,509,16,1,1,1.0,1.12234835186609,0.185781900534295,-0.120041859236758,1.24138004019661,0.158114881656987,1,stay_standard,1.0,0.115423232947367,1.28936969672064,1.0,0.330420150527267
5196,36,42393,1,320258,322758,-1250,109,513,16,1,1,1.0,0.763416586718449,-0.134537051110374,-0.0891279485608593,0.0729018075433358,0.158114881656987,1,stay_standard,1.0,-0.269951411479157,-0.114228965790208,1.0,0.3632684123856156
5197,36,42393,1,324258,326758,-1250,110,517,16,1,3,1.0,1.00754955757111,0.320017087715748,-0.542514336223004,-0.674937318706438,0.158114881656987,2,switch_to_oddball,3.0,0.0075212022851675,0.896372523424402,1.0,-0.04560176066678165
5198,36,42393,1,326258,328758,-1250,111,521,16,1,1,1.0,0.834603318478912,-0.373035818189828,-0.330143343892914,1.06071969920191,0.158114881656987,1,switch_to_standard,4.0,-0.180798734701614,0.21047993681659,1.0,0.3431382644920016
5199,36,42393,1,329258,331758,-1250,112,525,16,1,2,1.0,0.936678794681939,-1.18791420929434,0.699123816475389,-0.12588939178893,0.158114881656987,2,switch_to_oddball,3.0,-0.0654148573472715,0.630727242320752,1.0,0.1738400585423495
5200,36,42393,1,334258,336758,-1250,113,529,16,1,2,1.0,0.680890640111102,0.207733870469325,1.5401998021252,-0.0780198649190814,0.158114881656987,2,stay_oddball,2.0,-0.384353572936499,-0.530900698433194,1.0,0.15175646870101814
5201,36,42393,1,337258,339758,-1250,114,533,16,1,1,1.0,0.751942765815329,0.103878585544519,-0.241835774552155,0.338407326701687,0.158114881656987,1,switch_to_standard,4.0,-0.285095067216882,-0.169384683080913,1.0,0.35332004537599176
5203,36,42393,1,341258,343758,-1250,116,541,16,1,3,1.0,1.11306285898536,1.8516357243187,0.284479135817636,0.66205736038539,0.158114881656987,2,stay_oddball,2.0,0.107115547774432,1.25911172317221,1.0,-0.1006639125140298
5204,36,42393,1,343258,345758,-1250,117,545,16,1,3,1.0,0.942131317669919,1.24841428897832,0.615746291287896,0.282089478004665,0.158114881656987,2,stay_oddball,2.0,-0.059610611074853,0.651867274293985,1.0,-0.08249636180678671
5205,36,42393,1,347258,349758,-1250,118,549,16,1,1,1.0,1.55125968319044,-1.35844079279743,-0.721957258044372,0.141247623956,0.158114881656987,1,switch_to_standard,4.0,0.439067299702814,2.46813531038345,1.0,0.3799866689170175
5206,36,42393,1,350258,352758,-1250,119,553,16,1,2,1.0,0.718342625053992,-1.31991954015926,0.63917772014584,-1.7842954548289,0.158114881656987,2,switch_to_oddball,3.0,-0.33080863008609,-0.33588109541574,1.0,0.21562188401828258
5207,36,42393,1,354259,356759,-1250,120,557,16,1,1,1.0,0.741470386567016,-0.374395324145001,0.848763480764025,-1.3298539566263,0.158114881656987,1,switch_to_standard,4.0,-0.299120055400561,-0.220466026757883,1.0,0.40053242482120627
5208,36,42393,1,356259,358759,-1250,121,561,16,1,3,1.0,0.688578854484149,-0.255006134331915,-0.69723116842261,-2.50979908690615,0.158114881656987,2,switch_to_oddball,3.0,-0.373125436530409,-0.490005954915417,1.0,0.0070602701007263825
5209,36,42393,1,361259,363759,-1250,122,565,16,1,3,1.0,0.699685672201667,-1.31049939039011,-0.182784802739375,-1.4757478840047,0.158114881656987,2,stay_oddball,2.0,-0.357124084499159,-0.43172636482238,1.0,-0.0019245599280354915
5210,36,42393,1,365259,367759,-1250,123,569,16,1,2,1.0,0.880857356871275,0.904500556725593,-0.285124405764527,-1.05863361649852,0.158114881656987,2,stay_oddball,2.0,-0.126859576630158,0.406935337349544,1.0,0.16483969844508065
5211,36,42393,1,367259,369759,-1250,124,573,16,1,1,1.0,1.14388559633881,1.29114379478315,-1.11036444424461,0.2171061465391,0.158114881656987,1,switch_to_standard,4.0,0.134430884756607,1.3585987314866,1.0,0.3384222955613144
5212,36,42393,1,371259,373759,-1250,125,577,16,1,1,1.0,1.87697241088244,2.47896560853182,-1.01099757724325,1.03086929464671,0.158114881656987,1,stay_standard,1.0,0.629660058978737,3.16230589444465,1.0,0.30107465280050166
5213,36,42393,1,374268,376768,-1250,126,581,16,1,1,1.0,1.40940418381797,1.48737420966735,-0.67361296655149,-1.1712119910842,0.158114881656987,1,stay_standard,1.0,0.343167050416361,2.11885062448195,1.0,0.36879847464101057
5214,36,42393,1,376268,378768,-1250,127,585,16,1,1,1.0,0.669483066953035,1.19871861082851,0.949462303409112,1.10284997595156,0.158114881656987,1,stay_standard,1.0,-0.401249406249872,-0.592438138385806,1.0,0.31855082141473495
5215,36,42393,1,380268,382768,-1250,128,589,16,1,1,1.0,0.737599097355996,-0.041027739549424,1.14924556752549,-0.382510762316326,0.158114881656987,1,stay_standard,1.0,-0.304354830498641,-0.239531949834231,1.0,0.3727956743888332
5216,36,42393,1,382268,384768,-1250,129,593,16,1,2,1.0,1.02765648345485,-0.633324484807083,-0.892567984710869,0.583680149372634,0.158114881656987,2,switch_to_oddball,3.0,0.0272809511256811,0.968340820885609,1.0,0.14849154368716308
