,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
v_1|participant_id[42143],-0.575,0.309,-1.065,0.19,0.116,0.086,7.0,35.0,1.22
v_1|participant_id[42153],0.42,0.364,-0.239,1.037,0.124,0.09,9.0,82.0,1.19
v_1|participant_id[42163],1.298,0.348,0.552,1.866,0.06,0.043,36.0,46.0,1.03
v_1|participant_id[42173],-0.519,0.255,-1.073,-0.127,0.081,0.059,11.0,29.0,1.14
v_1|participant_id[42183],1.473,0.384,0.725,2.191,0.081,0.061,23.0,14.0,1.06
v_1|participant_id[42203],-1.067,0.372,-1.717,-0.37,0.167,0.133,5.0,23.0,1.38
v_1|participant_id[42213],-0.188,0.248,-0.596,0.274,0.047,0.033,27.0,50.0,1.07
v_1|participant_id[42233],-0.014,0.236,-0.491,0.386,0.044,0.031,29.0,83.0,1.06
v_1|participant_id[42253],0.566,0.272,0.121,1.078,0.09,0.066,9.0,61.0,1.19
v_1|participant_id[42263],-1.219,0.191,-1.543,-0.832,0.055,0.042,12.0,64.0,1.15
v_1|participant_id[42273],0.149,0.306,-0.451,0.689,0.102,0.074,9.0,23.0,1.16
v_1|participant_id[42283],-0.106,0.275,-0.673,0.349,0.056,0.072,24.0,50.0,1.1
v_1|participant_id[42293],-0.577,0.255,-1.103,-0.136,0.055,0.04,22.0,83.0,1.15
v_1|participant_id[42303],-0.708,0.302,-1.27,-0.167,0.099,0.072,9.0,89.0,1.16
v_1|participant_id[42313],0.546,0.276,0.094,1.07,0.059,0.043,22.0,71.0,1.08
v_1|participant_id[42323],0.502,0.351,-0.177,1.076,0.1,0.079,12.0,33.0,1.15
v_1|participant_id[42343],0.05,0.253,-0.469,0.508,0.053,0.041,23.0,31.0,1.09
v_1|participant_id[42353],-0.168,0.245,-0.585,0.305,0.051,0.037,23.0,39.0,1.08
v_1|participant_id[42363],-0.486,0.226,-0.867,-0.045,0.032,0.023,52.0,113.0,1.06
v_1|participant_id[42373],-0.451,0.21,-0.826,-0.093,0.039,0.03,27.0,111.0,1.06
v_1|participant_id[42383],0.345,0.254,-0.092,0.773,0.054,0.04,22.0,50.0,1.04
v_1|participant_id[42393],-1.249,0.243,-1.718,-0.796,0.064,0.046,14.0,46.0,1.14
v_1|participant_id[42403],0.112,0.372,-0.646,0.725,0.093,0.067,16.0,76.0,1.13
v_1|participant_id[42413],0.734,0.274,0.297,1.303,0.052,0.043,29.0,46.0,1.1
v_1|participant_id[42423],0.722,0.319,0.092,1.322,0.101,0.074,10.0,26.0,1.15
v_1|participant_id[62013],-0.002,0.255,-0.473,0.524,0.049,0.035,28.0,28.0,1.08
v_1|participant_id[62023],-0.436,0.32,-1.01,0.171,0.06,0.043,30.0,101.0,1.13
v_1|participant_id[62043],0.168,0.286,-0.383,0.652,0.051,0.037,33.0,83.0,1.06
v_1|participant_id[62063],-0.766,0.241,-1.169,-0.265,0.044,0.031,32.0,17.0,1.07
v_1|participant_id[62073],-1.191,0.223,-1.558,-0.793,0.035,0.025,42.0,79.0,1.02
v_1|participant_id[62093],1.13,0.317,0.554,1.709,0.044,0.031,52.0,126.0,1.03
v_1|participant_id[62103],0.326,0.42,-0.381,1.201,0.081,0.058,26.0,45.0,1.06
v_1|participant_id[62113],-0.702,0.274,-1.166,-0.175,0.056,0.04,24.0,47.0,1.07
v_1|participant_id[62123],-0.401,0.208,-0.806,0.015,0.034,0.026,35.0,66.0,1.07
v_1|participant_id[62133],0.735,0.272,0.287,1.33,0.047,0.037,38.0,58.0,1.08
v_1|participant_id[62143],-0.277,0.301,-0.759,0.319,0.137,0.103,5.0,45.0,1.34
v_1|participant_id[62153],0.682,0.281,0.165,1.167,0.044,0.031,43.0,102.0,1.04
v_1|participant_id[62163],0.266,0.28,-0.159,0.911,0.051,0.039,35.0,32.0,1.08
v_1|participant_id[62173],0.656,0.318,0.093,1.146,0.074,0.053,19.0,74.0,1.09
v_1|participant_id[62193],-0.284,0.278,-0.812,0.27,0.064,0.046,19.0,43.0,1.1
v_1|participant_id[62213],-0.496,0.268,-1.016,-0.015,0.049,0.035,31.0,84.0,1.04
v_1|participant_id[62233],-0.968,0.193,-1.36,-0.629,0.027,0.019,51.0,51.0,1.02
v_1|participant_id[62253],0.123,0.209,-0.252,0.503,0.03,0.021,52.0,110.0,1.04
v_1|participant_id[62263],-0.294,0.24,-0.776,0.097,0.042,0.03,34.0,34.0,1.03
v_1|participant_id[62273],-0.44,0.239,-0.974,-0.016,0.04,0.028,37.0,37.0,1.04
v_1|participant_id[62283],0.836,0.356,0.118,1.46,0.157,0.118,5.0,31.0,1.35
v_1|participant_id[62293],-0.473,0.236,-0.915,-0.064,0.059,0.043,17.0,28.0,1.11
v_1|participant_id[62303],-0.768,0.204,-1.159,-0.426,0.035,0.025,34.0,114.0,1.02
v_1|participant_id[62313],0.298,0.291,-0.309,0.811,0.056,0.04,28.0,43.0,1.06
v_1|participant_id[62323],0.508,0.306,0.01,1.091,0.056,0.04,32.0,70.0,1.03
v_1|participant_id[62333],-0.468,0.214,-0.866,0.011,0.035,0.025,38.0,65.0,1.01
v_1|participant_id[62343],-0.246,0.193,-0.644,0.086,0.028,0.02,50.0,113.0,1.02
v_1|participant_id[62363],0.04,0.27,-0.416,0.488,0.075,0.055,14.0,94.0,1.12
v_1|participant_id[62373],-1.238,0.204,-1.621,-0.854,0.078,0.06,7.0,28.0,1.2
v_1|participant_id[62393],-0.461,0.237,-0.873,-0.023,0.048,0.035,25.0,71.0,1.09
v_1|participant_id[62403],0.092,0.212,-0.347,0.477,0.035,0.025,38.0,49.0,1.06
