,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
t_1|participant_id[42423],0.011,0.031,-0.042,0.069,0.015,0.011,4.0,14.0,1.43
t_1|participant_id[62013],-0.031,0.022,-0.072,0.014,0.009,0.007,6.0,32.0,1.26
t_1|participant_id[62023],0.178,0.028,0.12,0.23,0.005,0.004,27.0,39.0,1.06
t_1|participant_id[62043],0.07,0.021,0.031,0.109,0.006,0.004,14.0,39.0,1.13
t_1|participant_id[62063],0.009,0.015,-0.02,0.034,0.006,0.004,7.0,38.0,1.26
t_1|participant_id[62073],0.289,0.036,0.228,0.357,0.005,0.003,61.0,195.0,1.04
t_1|participant_id[62093],0.072,0.017,0.041,0.107,0.004,0.003,20.0,51.0,1.08
t_1|participant_id[62103],-0.007,0.024,-0.049,0.036,0.011,0.008,5.0,22.0,1.34
t_1|participant_id[62113],0.082,0.028,0.028,0.133,0.005,0.004,33.0,65.0,1.05
t_1|participant_id[62123],0.069,0.027,0.021,0.111,0.006,0.004,23.0,53.0,1.07
t_1|participant_id[62133],0.036,0.021,0.006,0.08,0.009,0.007,8.0,17.0,1.21
t_1|participant_id[62143],-0.017,0.025,-0.058,0.027,0.009,0.006,9.0,23.0,1.19
t_1|participant_id[62153],0.066,0.02,0.025,0.104,0.007,0.005,8.0,57.0,1.21
t_1|participant_id[62163],-0.009,0.02,-0.053,0.02,0.007,0.005,6.0,21.0,1.25
t_1|participant_id[62173],-0.0,0.018,-0.045,0.028,0.006,0.004,10.0,13.0,1.18
t_1|participant_id[62193],-0.003,0.026,-0.046,0.05,0.011,0.008,6.0,44.0,1.32
t_1|participant_id[62213],0.076,0.021,0.031,0.111,0.007,0.005,10.0,21.0,1.16
t_1|participant_id[62233],-0.002,0.016,-0.032,0.025,0.004,0.003,14.0,19.0,1.16
t_1|participant_id[62253],-0.002,0.026,-0.055,0.03,0.015,0.012,3.0,12.0,1.72
t_1|participant_id[62263],-0.059,0.022,-0.099,-0.016,0.005,0.003,22.0,41.0,1.07
t_1|participant_id[62273],0.075,0.025,0.011,0.116,0.008,0.006,12.0,32.0,1.14
t_1|participant_id[62283],0.027,0.034,-0.042,0.088,0.019,0.015,3.0,20.0,1.84
t_1|participant_id[62293],0.066,0.027,0.018,0.112,0.012,0.009,5.0,12.0,1.32
t_1|participant_id[62303],-0.0,0.017,-0.039,0.03,0.003,0.002,34.0,59.0,1.03
t_1|participant_id[62313],0.011,0.019,-0.029,0.046,0.006,0.004,12.0,31.0,1.14
t_1|participant_id[62323],-0.059,0.03,-0.114,-0.009,0.006,0.005,25.0,97.0,1.07
t_1|participant_id[62333],-0.018,0.022,-0.059,0.033,0.006,0.004,15.0,22.0,1.11
t_1|participant_id[62343],-0.054,0.019,-0.085,-0.021,0.005,0.004,15.0,74.0,1.1
t_1|participant_id[62363],0.045,0.029,-0.004,0.102,0.015,0.011,4.0,14.0,1.49
t_1|participant_id[62373],0.143,0.026,0.099,0.193,0.005,0.003,33.0,57.0,1.05
t_1|participant_id[62393],-0.108,0.03,-0.162,-0.056,0.011,0.008,8.0,29.0,1.19
t_1|participant_id[62403],0.08,0.024,0.04,0.124,0.007,0.005,11.0,118.0,1.17
t_1|participant_id[62413],0.127,0.026,0.086,0.177,0.007,0.005,20.0,133.0,1.11
t_1|participant_id[62423],-0.028,0.021,-0.061,0.011,0.005,0.004,16.0,35.0,1.12
t_1|participant_id[62433],0.093,0.026,0.042,0.14,0.007,0.005,14.0,68.0,1.11
t_1|participant_id[62443],0.003,0.023,-0.053,0.039,0.008,0.006,11.0,13.0,1.15
z_1|participant_id_offset[42013],2.143,0.464,1.295,2.908,0.083,0.059,33.0,82.0,1.06
z_1|participant_id_offset[42023],0.134,0.501,-0.917,1.07,0.107,0.077,23.0,33.0,1.05
z_1|participant_id_offset[42033],1.081,0.57,0.146,2.219,0.207,0.152,7.0,17.0,1.2
z_1|participant_id_offset[42043],-0.224,0.515,-1.065,0.842,0.106,0.079,23.0,28.0,1.06
z_1|participant_id_offset[42053],0.505,0.614,-0.33,1.872,0.152,0.122,16.0,13.0,1.21
z_1|participant_id_offset[42063],1.075,0.428,0.25,1.762,0.176,0.131,6.0,47.0,1.25
z_1|participant_id_offset[42073],-0.188,0.714,-1.399,0.855,0.329,0.248,5.0,36.0,1.4
z_1|participant_id_offset[42083],0.851,0.485,-0.029,1.805,0.248,0.191,4.0,33.0,1.45
z_1|participant_id_offset[42103],-0.133,0.532,-1.178,0.86,0.172,0.126,13.0,12.0,1.12
z_1|participant_id_offset[42123],-0.068,0.717,-1.413,1.24,0.152,0.179,23.0,29.0,1.18
z_1|participant_id_offset[42133],0.024,0.613,-1.187,1.015,0.148,0.107,17.0,61.0,1.05
z_1|participant_id_offset[42143],0.487,0.734,-1.067,1.794,0.253,0.186,8.0,21.0,1.19
z_1|participant_id_offset[42153],0.044,0.562,-0.998,1.194,0.102,0.11,30.0,54.0,1.2
z_1|participant_id_offset[42163],0.657,0.531,-0.401,1.564,0.119,0.086,21.0,81.0,1.07
z_1|participant_id_offset[42173],0.427,0.431,-0.28,1.255,0.105,0.087,18.0,25.0,1.12
z_1|participant_id_offset[42183],-0.315,0.615,-1.473,0.789,0.142,0.102,19.0,34.0,1.11
z_1|participant_id_offset[42203],1.223,0.784,-0.788,2.296,0.297,0.286,5.0,27.0,1.39
z_1|participant_id_offset[42213],-0.78,0.66,-2.165,0.248,0.164,0.131,17.0,17.0,1.08
z_1|participant_id_offset[42233],0.946,0.462,-0.05,1.626,0.151,0.111,10.0,73.0,1.15
z_1|participant_id_offset[42253],0.411,0.537,-0.475,1.333,0.134,0.097,17.0,36.0,1.09
z_1|participant_id_offset[42263],0.384,0.377,-0.298,1.018,0.08,0.057,23.0,105.0,1.09
z_1|participant_id_offset[42273],-0.396,0.747,-1.61,0.783,0.35,0.268,5.0,29.0,1.28
z_1|participant_id_offset[42283],0.435,0.634,-0.674,1.47,0.145,0.104,20.0,38.0,1.06
z_1|participant_id_offset[42293],-0.947,0.848,-2.408,0.627,0.338,0.289,6.0,21.0,1.26
z_1|participant_id_offset[42303],0.942,0.716,-0.188,2.342,0.29,0.216,6.0,12.0,1.29
z_1|participant_id_offset[42313],0.268,0.389,-0.391,0.922,0.089,0.081,20.0,63.0,1.09
z_1|participant_id_offset[42323],0.434,0.674,-0.567,1.763,0.269,0.2,7.0,45.0,1.23
z_1|participant_id_offset[42343],0.003,0.622,-1.193,1.081,0.279,0.21,6.0,12.0,1.27
z_1|participant_id_offset[42353],0.66,0.559,-0.191,1.831,0.236,0.176,6.0,23.0,1.28
z_1|participant_id_offset[42363],-0.124,0.631,-1.298,1.015,0.182,0.132,12.0,21.0,1.12
z_1|participant_id_offset[42373],-0.542,0.488,-1.439,0.244,0.202,0.15,6.0,28.0,1.28
z_1|participant_id_offset[42383],0.508,0.532,-0.454,1.422,0.105,0.075,28.0,104.0,1.04
z_1|participant_id_offset[42393],0.381,0.596,-0.605,1.421,0.205,0.15,8.0,43.0,1.2
z_1|participant_id_offset[42403],1.549,0.688,0.366,2.807,0.134,0.117,25.0,58.0,1.11
z_1|participant_id_offset[42413],-1.217,0.648,-2.376,-0.188,0.141,0.101,20.0,75.0,1.11
z_1|participant_id_offset[42423],0.04,0.741,-1.285,1.348,0.298,0.222,6.0,17.0,1.27
z_1|participant_id_offset[62013],-0.344,0.497,-1.073,0.716,0.133,0.096,16.0,15.0,1.1
z_1|participant_id_offset[62023],-1.873,0.721,-3.246,-0.523,0.171,0.123,18.0,38.0,1.08
z_1|participant_id_offset[62043],0.403,0.501,-0.501,1.298,0.108,0.078,22.0,51.0,1.11
z_1|participant_id_offset[62063],-0.677,0.42,-1.462,0.005,0.08,0.058,28.0,85.0,1.07
z_1|participant_id_offset[62073],-2.883,0.758,-4.282,-1.663,0.154,0.112,26.0,65.0,1.08
z_1|participant_id_offset[62093],-0.372,0.546,-1.573,0.499,0.151,0.109,14.0,55.0,1.13
z_1|participant_id_offset[62103],0.266,0.679,-1.116,1.295,0.279,0.208,8.0,21.0,1.26
z_1|participant_id_offset[62113],-0.139,0.735,-1.574,1.006,0.151,0.108,25.0,38.0,1.06
z_1|participant_id_offset[62123],-0.732,0.545,-1.746,0.133,0.106,0.076,27.0,43.0,1.03
z_1|participant_id_offset[62133],-0.456,0.5,-1.361,0.485,0.158,0.115,10.0,22.0,1.17
z_1|participant_id_offset[62143],-0.002,0.664,-1.253,1.109,0.302,0.228,5.0,27.0,1.38
z_1|participant_id_offset[62153],0.173,0.454,-0.769,0.926,0.073,0.052,40.0,73.0,1.03
z_1|participant_id_offset[62163],-1.169,0.405,-2.013,-0.467,0.074,0.053,32.0,49.0,1.05
z_1|participant_id_offset[62173],-0.487,0.522,-1.406,0.619,0.111,0.084,22.0,18.0,1.1
z_1|participant_id_offset[62193],-0.15,0.527,-1.287,0.736,0.18,0.132,9.0,39.0,1.18
z_1|participant_id_offset[62213],0.065,0.51,-0.983,0.822,0.15,0.109,12.0,66.0,1.13
z_1|participant_id_offset[62233],0.465,0.364,-0.168,1.107,0.119,0.087,9.0,76.0,1.2
z_1|participant_id_offset[62253],-0.313,0.554,-1.603,0.461,0.283,0.217,5.0,14.0,1.35
z_1|participant_id_offset[62263],-0.166,0.523,-1.077,0.89,0.104,0.075,26.0,20.0,1.06
z_1|participant_id_offset[62273],0.611,0.451,-0.141,1.594,0.104,0.075,20.0,75.0,1.07
z_1|participant_id_offset[62283],0.31,0.809,-1.418,1.673,0.421,0.325,4.0,30.0,1.57
z_1|participant_id_offset[62293],-0.267,0.542,-1.294,0.652,0.182,0.133,10.0,28.0,1.17
z_1|participant_id_offset[62303],0.769,0.384,0.18,1.519,0.074,0.053,27.0,89.0,1.06
z_1|participant_id_offset[62313],0.389,0.629,-0.942,1.511,0.275,0.206,5.0,20.0,1.34
z_1|participant_id_offset[62323],-0.664,0.695,-2.064,0.387,0.128,0.092,32.0,98.0,1.02
z_1|participant_id_offset[62333],-0.414,0.45,-1.105,0.657,0.093,0.067,23.0,31.0,1.05
z_1|participant_id_offset[62343],0.447,0.44,-0.249,1.307,0.09,0.064,25.0,62.0,1.04
z_1|participant_id_offset[62363],-0.567,0.632,-1.49,0.69,0.341,0.265,4.0,18.0,1.49
z_1|participant_id_offset[62373],-1.041,0.587,-2.089,-0.157,0.177,0.128,11.0,28.0,1.18
z_1|participant_id_offset[62393],-0.976,0.634,-2.095,0.055,0.176,0.128,13.0,75.0,1.11
z_1|participant_id_offset[62403],-0.631,0.495,-1.495,0.197,0.193,0.143,7.0,50.0,1.23
z_1|participant_id_offset[62413],0.019,0.605,-1.229,1.107,0.122,0.087,24.0,43.0,1.05
z_1|participant_id_offset[62423],-0.135,0.392,-0.865,0.584,0.063,0.045,38.0,71.0,1.04
z_1|participant_id_offset[62433],-0.662,0.722,-2.076,0.707,0.128,0.096,32.0,40.0,1.05
z_1|participant_id_offset[62443],-1.393,0.533,-2.314,-0.611,0.142,0.118,13.0,21.0,1.17
z_1|participant_id[42013],0.176,0.041,0.108,0.248,0.009,0.007,22.0,109.0,1.08
z_1|participant_id[42023],0.01,0.041,-0.08,0.085,0.009,0.006,24.0,35.0,1.05
z_1|participant_id[42033],0.088,0.046,0.013,0.174,0.015,0.012,9.0,16.0,1.17
z_1|participant_id[42043],-0.018,0.041,-0.08,0.067,0.008,0.006,26.0,32.0,1.05
z_1|participant_id[42053],0.04,0.05,-0.034,0.146,0.012,0.009,17.0,16.0,1.19
z_1|participant_id[42063],0.088,0.035,0.023,0.151,0.015,0.012,5.0,52.0,1.29
z_1|participant_id[42073],-0.016,0.058,-0.117,0.073,0.026,0.02,5.0,39.0,1.35
z_1|participant_id[42083],0.071,0.043,-0.005,0.152,0.022,0.017,4.0,19.0,1.46
z_1|participant_id[42103],-0.011,0.043,-0.095,0.069,0.014,0.01,14.0,12.0,1.13
z_1|participant_id[42123],-0.004,0.061,-0.121,0.109,0.013,0.013,24.0,43.0,1.16
z_1|participant_id[42133],0.004,0.051,-0.091,0.093,0.012,0.009,18.0,57.0,1.05
z_1|participant_id[42143],0.041,0.06,-0.073,0.153,0.021,0.015,8.0,22.0,1.19
z_1|participant_id[42153],0.005,0.047,-0.101,0.089,0.009,0.01,29.0,49.0,1.21
z_1|participant_id[42163],0.053,0.044,-0.025,0.137,0.01,0.007,21.0,67.0,1.06
z_1|participant_id[42173],0.034,0.034,-0.027,0.092,0.008,0.006,19.0,35.0,1.1
z_1|participant_id[42183],-0.026,0.051,-0.116,0.061,0.012,0.008,19.0,64.0,1.11
z_1|participant_id[42203],0.102,0.067,-0.061,0.21,0.028,0.026,5.0,19.0,1.42
z_1|participant_id[42213],-0.065,0.057,-0.183,0.028,0.015,0.012,16.0,12.0,1.08
z_1|participant_id[42233],0.077,0.037,-0.003,0.134,0.011,0.008,11.0,73.0,1.15
z_1|participant_id[42253],0.035,0.045,-0.044,0.111,0.011,0.008,17.0,50.0,1.09
z_1|participant_id[42263],0.032,0.031,-0.026,0.082,0.007,0.005,19.0,62.0,1.1
z_1|participant_id[42273],-0.03,0.061,-0.131,0.069,0.028,0.021,5.0,30.0,1.29
z_1|participant_id[42283],0.035,0.052,-0.051,0.121,0.011,0.008,23.0,47.0,1.04
z_1|participant_id[42293],-0.076,0.067,-0.187,0.051,0.026,0.022,6.0,15.0,1.26
z_1|participant_id[42303],0.077,0.059,-0.036,0.18,0.025,0.019,6.0,12.0,1.29
z_1|participant_id[42313],0.023,0.034,-0.035,0.086,0.008,0.006,21.0,82.0,1.09
z_1|participant_id[42323],0.036,0.056,-0.038,0.155,0.023,0.017,6.0,22.0,1.23
z_1|participant_id[42343],-0.001,0.052,-0.106,0.081,0.024,0.018,6.0,11.0,1.26
z_1|participant_id[42353],0.052,0.043,-0.008,0.146,0.018,0.014,6.0,23.0,1.28
z_1|participant_id[42363],-0.01,0.053,-0.104,0.093,0.016,0.012,10.0,20.0,1.15
z_1|participant_id[42373],-0.044,0.04,-0.128,0.019,0.016,0.011,7.0,29.0,1.26
z_1|participant_id[42383],0.042,0.044,-0.035,0.126,0.009,0.006,27.0,81.0,1.04
z_1|participant_id[42393],0.031,0.05,-0.052,0.116,0.017,0.012,9.0,29.0,1.18
z_1|participant_id[42403],0.126,0.057,0.027,0.226,0.011,0.008,26.0,54.0,1.09
z_1|participant_id[42413],-0.099,0.051,-0.192,-0.011,0.012,0.009,16.0,73.0,1.12
z_1|participant_id[42423],0.004,0.059,-0.105,0.102,0.023,0.017,6.0,19.0,1.24
z_1|participant_id[62013],-0.028,0.041,-0.092,0.06,0.012,0.009,13.0,12.0,1.11
z_1|participant_id[62023],-0.154,0.061,-0.261,-0.04,0.014,0.01,18.0,34.0,1.07
z_1|participant_id[62043],0.034,0.043,-0.039,0.127,0.009,0.006,23.0,42.0,1.1
z_1|participant_id[62063],-0.054,0.032,-0.117,-0.004,0.006,0.004,31.0,85.0,1.05
z_1|participant_id[62073],-0.235,0.057,-0.324,-0.13,0.013,0.009,19.0,86.0,1.1
z_1|participant_id[62093],-0.032,0.046,-0.126,0.047,0.013,0.009,14.0,50.0,1.17
z_1|participant_id[62103],0.025,0.056,-0.088,0.107,0.022,0.016,8.0,28.0,1.25
z_1|participant_id[62113],-0.01,0.058,-0.123,0.081,0.012,0.009,24.0,35.0,1.05
z_1|participant_id[62123],-0.062,0.046,-0.143,0.029,0.009,0.007,27.0,43.0,1.03
z_1|participant_id[62133],-0.037,0.041,-0.118,0.038,0.013,0.009,11.0,22.0,1.16
z_1|participant_id[62143],0.0,0.054,-0.095,0.091,0.025,0.019,5.0,45.0,1.37
z_1|participant_id[62153],0.015,0.038,-0.063,0.085,0.006,0.004,39.0,58.0,1.03
z_1|participant_id[62163],-0.096,0.035,-0.166,-0.03,0.007,0.005,26.0,32.0,1.05
z_1|participant_id[62173],-0.04,0.042,-0.124,0.047,0.009,0.007,24.0,16.0,1.12
z_1|participant_id[62193],-0.011,0.043,-0.096,0.066,0.014,0.01,9.0,41.0,1.18
z_1|participant_id[62213],0.004,0.043,-0.083,0.069,0.013,0.009,12.0,45.0,1.14
z_1|participant_id[62233],0.038,0.03,-0.011,0.095,0.008,0.006,13.0,38.0,1.17
z_1|participant_id[62253],-0.027,0.049,-0.126,0.056,0.025,0.019,5.0,16.0,1.35
z_1|participant_id[62263],-0.012,0.042,-0.081,0.08,0.009,0.006,26.0,18.0,1.06
z_1|participant_id[62273],0.05,0.037,-0.013,0.131,0.01,0.008,13.0,81.0,1.1
z_1|participant_id[62283],0.028,0.067,-0.109,0.15,0.035,0.027,4.0,22.0,1.58
z_1|participant_id[62293],-0.021,0.043,-0.11,0.048,0.014,0.01,11.0,22.0,1.15
z_1|participant_id[62303],0.063,0.032,0.014,0.128,0.006,0.004,27.0,80.0,1.05
z_1|participant_id[62313],0.031,0.05,-0.077,0.113,0.022,0.016,5.0,19.0,1.35
z_1|participant_id[62323],-0.056,0.058,-0.155,0.045,0.011,0.008,31.0,127.0,1.03
z_1|participant_id[62333],-0.033,0.037,-0.091,0.054,0.008,0.006,24.0,28.0,1.07
z_1|participant_id[62343],0.037,0.038,-0.019,0.115,0.008,0.006,25.0,62.0,1.05
z_1|participant_id[62363],-0.048,0.052,-0.124,0.052,0.028,0.021,4.0,21.0,1.45
z_1|participant_id[62373],-0.084,0.046,-0.166,-0.011,0.015,0.011,10.0,32.0,1.2
z_1|participant_id[62393],-0.078,0.049,-0.159,0.006,0.013,0.009,18.0,73.0,1.08
z_1|participant_id[62403],-0.051,0.039,-0.117,0.016,0.015,0.011,7.0,37.0,1.22
z_1|participant_id[62413],0.002,0.049,-0.096,0.099,0.009,0.007,26.0,39.0,1.05
z_1|participant_id[62423],-0.011,0.032,-0.071,0.044,0.005,0.004,39.0,76.0,1.04
z_1|participant_id[62433],-0.054,0.059,-0.171,0.055,0.011,0.008,31.0,43.0,1.06
z_1|participant_id[62443],-0.113,0.044,-0.211,-0.052,0.011,0.008,16.0,21.0,1.14
z_Intercept,0.571,0.012,0.546,0.588,0.002,0.002,26.0,43.0,1.06
v_Intercept,4.398,0.081,4.267,4.544,0.026,0.019,12.0,60.0,1.13
z_pupil|participant_id_mu,0.041,0.239,-0.406,0.464,0.04,0.028,37.0,77.0,1.02
z_beta_insula|participant_id_offset[42013],0.527,0.881,-1.031,2.167,0.223,0.161,15.0,47.0,1.1
z_beta_insula|participant_id_offset[42023],0.615,0.757,-0.608,2.089,0.14,0.1,30.0,131.0,1.06
z_beta_insula|participant_id_offset[42033],-0.658,0.664,-1.751,0.517,0.15,0.108,21.0,33.0,1.05
z_beta_insula|participant_id_offset[42043],0.035,0.721,-1.259,1.293,0.105,0.075,48.0,131.0,1.07
z_beta_insula|participant_id_offset[42053],-0.212,0.901,-1.832,1.584,0.218,0.157,17.0,16.0,1.1
z_beta_insula|participant_id_offset[42063],-0.622,0.743,-2.082,0.71,0.118,0.084,40.0,42.0,1.02
z_beta_insula|participant_id_offset[42073],0.41,0.695,-1.073,1.449,0.185,0.134,18.0,64.0,1.14
z_beta_insula|participant_id_offset[42083],-0.188,0.762,-1.631,1.168,0.167,0.12,21.0,62.0,1.08
z_beta_insula|participant_id_offset[42103],0.005,0.751,-1.157,1.622,0.209,0.151,15.0,47.0,1.16
z_beta_insula|participant_id_offset[42123],-0.813,0.732,-2.086,0.573,0.187,0.135,16.0,98.0,1.14
z_beta_insula|participant_id_offset[42133],-0.565,0.959,-2.077,1.51,0.27,0.196,15.0,19.0,1.11
z_beta_insula|participant_id_offset[42143],-0.241,0.898,-1.718,1.389,0.166,0.119,31.0,72.0,1.04
z_beta_insula|participant_id_offset[42153],0.546,0.737,-0.715,1.655,0.199,0.154,15.0,53.0,1.18
z_beta_insula|participant_id_offset[42163],0.129,0.756,-1.008,1.833,0.157,0.112,23.0,36.0,1.06
z_beta_insula|participant_id_offset[42173],-0.455,0.632,-1.71,0.705,0.11,0.078,36.0,35.0,1.1
z_beta_insula|participant_id_offset[42183],0.397,0.652,-0.829,1.53,0.174,0.126,13.0,65.0,1.14
z_beta_insula|participant_id_offset[42203],-0.905,0.716,-2.433,0.12,0.156,0.118,26.0,82.0,1.06
z_beta_insula|participant_id_offset[42213],-0.013,0.994,-1.986,1.856,0.301,0.219,11.0,51.0,1.14
z_beta_insula|participant_id_offset[42233],-0.357,0.75,-1.481,1.187,0.149,0.107,26.0,51.0,1.07
z_beta_insula|participant_id_offset[42253],-0.341,0.812,-1.775,1.505,0.332,0.247,6.0,34.0,1.29
z_beta_insula|participant_id_offset[42263],-0.187,0.811,-1.581,1.409,0.164,0.117,25.0,55.0,1.03
z_beta_insula|participant_id_offset[42273],0.086,1.005,-1.762,1.554,0.203,0.145,24.0,44.0,1.06
z_beta_insula|participant_id_offset[42283],-0.096,0.689,-1.27,1.246,0.109,0.078,41.0,66.0,1.04
z_beta_insula|participant_id_offset[42293],-0.364,0.707,-1.62,0.937,0.138,0.115,28.0,38.0,1.07
z_beta_insula|participant_id_offset[42303],-0.568,0.716,-2.032,0.54,0.141,0.101,26.0,62.0,1.05
z_beta_insula|participant_id_offset[42313],0.396,0.698,-0.803,1.885,0.111,0.079,39.0,136.0,1.03
z_beta_insula|participant_id_offset[42323],0.498,0.915,-1.067,2.365,0.175,0.232,28.0,28.0,1.27
z_beta_insula|participant_id_offset[42343],-0.753,0.724,-1.935,0.926,0.096,0.068,59.0,52.0,1.06
z_beta_insula|participant_id_offset[42353],-0.869,0.861,-2.537,0.412,0.153,0.11,32.0,69.0,1.08
z_beta_insula|participant_id_offset[42363],0.125,0.703,-1.098,1.411,0.143,0.102,25.0,74.0,1.06
z_beta_insula|participant_id_offset[42373],0.215,0.866,-1.572,1.563,0.164,0.117,29.0,98.0,1.03
z_beta_insula|participant_id_offset[42383],-1.095,0.747,-2.329,0.325,0.144,0.103,30.0,108.0,1.04
z_beta_insula|participant_id_offset[42393],-0.988,0.828,-2.624,0.521,0.265,0.193,10.0,79.0,1.17
z_beta_insula|participant_id_offset[42403],-1.025,0.689,-2.425,0.253,0.119,0.102,35.0,23.0,1.04
z_beta_insula|participant_id_offset[42413],0.126,0.764,-1.285,1.317,0.244,0.178,12.0,82.0,1.15
z_beta_insula|participant_id_offset[42423],0.188,0.854,-1.36,1.727,0.194,0.139,19.0,52.0,1.1
z_beta_insula|participant_id_offset[62013],-0.463,0.827,-1.768,1.143,0.122,0.087,48.0,82.0,1.04
z_beta_insula|participant_id_offset[62023],-1.311,0.709,-2.555,-0.023,0.204,0.148,13.0,105.0,1.15
z_beta_insula|participant_id_offset[62043],0.392,0.809,-0.944,1.841,0.347,0.26,6.0,73.0,1.31
z_beta_insula|participant_id_offset[62063],-0.054,0.788,-1.627,1.409,0.138,0.098,35.0,64.0,1.05
z_beta_insula|participant_id_offset[62073],-0.438,0.81,-2.041,1.063,0.278,0.203,9.0,35.0,1.17
z_beta_insula|participant_id_offset[62093],-0.554,0.702,-1.77,0.908,0.13,0.093,29.0,40.0,1.03
z_beta_insula|participant_id_offset[62103],-0.176,0.697,-1.308,1.39,0.11,0.079,48.0,49.0,1.08
z_beta_insula|participant_id_offset[62113],-1.051,0.822,-2.284,0.701,0.201,0.144,18.0,21.0,1.08
z_beta_insula|participant_id_offset[62123],-0.654,0.769,-2.064,0.602,0.255,0.186,10.0,51.0,1.17
z_beta_insula|participant_id_offset[62133],-0.209,0.761,-1.534,1.464,0.225,0.164,12.0,34.0,1.13
z_beta_insula|participant_id_offset[62143],-0.16,0.818,-1.881,1.097,0.147,0.105,34.0,93.0,1.02
z_beta_insula|participant_id_offset[62153],-0.961,0.695,-2.184,0.395,0.188,0.136,14.0,30.0,1.11
z_beta_insula|participant_id_offset[62163],-1.17,0.8,-2.667,0.24,0.217,0.157,14.0,40.0,1.11
z_beta_insula|participant_id_offset[62173],1.171,0.868,-0.2,2.926,0.161,0.115,29.0,65.0,1.05
z_beta_insula|participant_id_offset[62193],-0.211,0.84,-1.559,1.61,0.249,0.181,11.0,39.0,1.15
z_beta_insula|participant_id_offset[62213],-0.307,0.753,-1.606,1.198,0.122,0.087,39.0,86.0,1.05
z_beta_insula|participant_id_offset[62233],-0.517,0.72,-1.785,0.831,0.139,0.101,26.0,63.0,1.05
z_beta_insula|participant_id_offset[62253],-0.403,0.886,-2.018,1.217,0.17,0.121,28.0,43.0,1.08
z_beta_insula|participant_id_offset[62263],0.578,0.766,-0.737,2.096,0.222,0.161,12.0,54.0,1.15
z_beta_insula|participant_id_offset[62273],0.136,0.914,-1.413,1.549,0.367,0.272,7.0,69.0,1.25
z_beta_insula|participant_id_offset[62283],-0.193,0.644,-1.463,0.903,0.099,0.093,41.0,71.0,1.15
z_beta_insula|participant_id_offset[62293],-0.738,0.838,-1.886,0.761,0.167,0.119,28.0,84.0,1.03
z_beta_insula|participant_id_offset[62303],-0.405,0.97,-2.032,1.721,0.333,0.244,9.0,33.0,1.18
z_beta_insula|participant_id_offset[62313],-0.961,0.732,-2.397,0.32,0.1,0.071,53.0,74.0,1.05
z_beta_insula|participant_id_offset[62323],-0.682,0.698,-2.04,0.566,0.134,0.099,27.0,87.0,1.07
z_beta_insula|participant_id_offset[62333],-0.417,0.841,-1.842,0.969,0.171,0.123,28.0,111.0,1.07
z_beta_insula|participant_id_offset[62343],-0.107,0.91,-1.584,1.337,0.23,0.165,17.0,99.0,1.1
z_beta_insula|participant_id_offset[62363],0.183,0.683,-1.121,1.319,0.086,0.061,64.0,117.0,1.02
z_beta_insula|participant_id_offset[62373],0.334,0.928,-1.391,2.1,0.233,0.168,19.0,51.0,1.11
z_beta_insula|participant_id_offset[62393],-0.5,0.784,-1.971,1.157,0.206,0.149,15.0,46.0,1.12
z_beta_insula|participant_id_offset[62403],-1.339,0.883,-2.856,0.206,0.238,0.172,14.0,146.0,1.13
z_beta_insula|participant_id_offset[62413],-0.41,0.875,-2.007,1.089,0.239,0.173,15.0,65.0,1.11
z_beta_insula|participant_id_offset[62423],-0.875,0.812,-2.157,0.672,0.384,0.291,5.0,44.0,1.37
z_beta_insula|participant_id_offset[62433],-1.06,0.781,-2.753,0.287,0.339,0.254,5.0,24.0,1.33
z_beta_insula|participant_id_offset[62443],0.327,0.869,-1.218,2.091,0.24,0.205,27.0,25.0,1.1
z_beta_insula|participant_id[42013],0.005,0.009,-0.011,0.02,0.002,0.002,12.0,49.0,1.12
z_beta_insula|participant_id[42023],0.006,0.008,-0.008,0.02,0.001,0.001,32.0,100.0,1.06
z_beta_insula|participant_id[42033],-0.006,0.007,-0.018,0.007,0.002,0.001,16.0,33.0,1.11
z_beta_insula|participant_id[42043],0.0,0.007,-0.014,0.013,0.001,0.001,50.0,80.0,1.05
z_beta_insula|participant_id[42053],-0.002,0.009,-0.018,0.014,0.002,0.001,19.0,35.0,1.08
z_beta_insula|participant_id[42063],-0.006,0.007,-0.021,0.006,0.001,0.001,42.0,70.0,1.05
z_beta_insula|participant_id[42073],0.005,0.007,-0.008,0.016,0.002,0.002,11.0,50.0,1.12
z_beta_insula|participant_id[42083],-0.002,0.008,-0.018,0.01,0.002,0.001,18.0,134.0,1.09
z_beta_insula|participant_id[42103],-0.0,0.007,-0.011,0.015,0.002,0.001,20.0,96.0,1.13
z_beta_insula|participant_id[42123],-0.009,0.008,-0.023,0.006,0.003,0.002,9.0,113.0,1.17
z_beta_insula|participant_id[42133],-0.006,0.01,-0.023,0.014,0.002,0.002,17.0,21.0,1.11
z_beta_insula|participant_id[42143],-0.003,0.009,-0.019,0.014,0.002,0.001,25.0,42.0,1.06
z_beta_insula|participant_id[42153],0.005,0.007,-0.007,0.017,0.002,0.001,15.0,51.0,1.13
